word|example|translation|example_translation|familiarity
sortieren|Sortiere die Post in zwei Stapel.|to sort|Sort the mail into two piles.|0
ablegen|Lege die Dokumente in einen Ordner.|to file|File the documents in a folder.|0
terminieren|Wir terminieren den Termin für Montag.|to schedule|We schedule the appointment for Monday.|0
verschieben|Verschiebe das Meeting auf morgen.|to postpone|Postpone the meeting to tomorrow.|0
absagen|Sage den Termin frühzeitig ab.|to cancel|Cancel the appointment early.|0
bestätigen (Termin)|Bestätige den Termin per Mail.|to confirm|Confirm the appointment by email.|0
vorbereiten|Bereite die Unterlagen rechtzeitig vor.|to prepare|Prepare the documents in time.|0
drucken (Unterlagen)|Drucke zwei Kopien für alle.|to print|Print two copies for everyone.|0
mitnehmen|Nimm einen Stift und Notizblock mit.|to take along|Take a pen and notepad with you.|0
notieren|Notiere die wichtigsten Punkte.|to note|Note the most important points.|0
besprechen|Wir besprechen das morgen früh.|to discuss|We will discuss it tomorrow morning.|0
klären|Klären wir die offenen Fragen.|to clarify|Let’s clarify the open questions.|0
zustimmen|Ich stimme dem Vorschlag zu.|to agree|I agree with the proposal.|0
ablehnen|Er lehnt den Plan freundlich ab.|to reject|He politely rejects the plan.|0
vorschlagen|Ich schlage eine einfache Lösung vor.|to suggest|I suggest a simple solution.|0
entscheiden|Wir entscheiden gemeinsam am Ende.|to decide|We decide together at the end.|0
priorisieren|Priorisiere Aufgaben nach Wichtigkeit.|to prioritize|Prioritize tasks by importance.|0
erledigen|Erledige zuerst die kurzen Aufgaben.|to get done|Get the short tasks done first.|0
prüfen (Arbeit)|Prüfe die Ergebnisse sorgfältig.|to check|Check the results carefully.|0
abgeben|Gib den Bericht pünktlich ab.|to hand in|Hand in the report on time.|0
überarbeiten|Überarbeite den Text leicht.|to revise|Revise the text slightly.|0
korrigieren|Korrigiere kleine Tippfehler sofort.|to correct|Correct small typos immediately.|0
abschicken|Schicke die Mail vor Mittag ab.|to send off|Send the email before noon.|0
antworten|Antworte kurz und höflich.|to reply|Reply briefly and politely.|0
weiterleiten|Leite die Nachricht an alle weiter.|to forward|Forward the message to everyone.|0
anhängen|Hänge die Datei der Mail an.|to attach|Attach the file to the email.|0
entfernen|Entferne den falschen Anhang.|to remove|Remove the wrong attachment.|0
archivieren|Archiviere alte Mails regelmäßig.|to archive|Archive old emails regularly.|0
sichern (Datei)|Sichere die Datei auf dem Stick.|to back up|Back up the file on the stick.|0
umbenennen|Benne die Datei eindeutig um.|to rename|Rename the file clearly.|0
verschieben (Datei)|Verschiebe sie in den Projektordner.|to move|Move it into the project folder.|0
kopieren (Datei)|Kopiere eine Sicherungskopie.|to copy|Copy a backup copy.|0
löschen (Datei)|Lösche doppelte Dateien sofort.|to delete|Delete duplicate files immediately.|0
erstellen (Ordner)|Erstelle einen neuen Ordner heute.|to create|Create a new folder today.|0
suchen (Datei)|Suche die Datei mit dem Namen.|to search|Search the file by the name.|0
finden (Lösung)|Wir finden eine einfache Lösung.|to find|We will find a simple solution.|0
testen|Teste die Funktion vor dem Einsatz.|to test|Test the function before use.|0
messen|Messe die Zeit mit einer Uhr.|to measure|Measure the time with a clock.|0
schätzen|Schätze den Aufwand realistisch.|to estimate|Estimate the effort realistically.|0
protokollieren (Zeit)|Protokolliere deine Arbeitszeit.|to log|Log your working time.|0
abschalten (Arbeit)|Schalte nach Feierabend ab.|to switch off|Switch off after work.|0
entspannen|Entspanne dich mit Musik.|to relax|Relax with music.|0
spazieren|Wir spazieren durch den Park.|to go for a walk|We walk through the park.|0
laufen (leicht)|Ich laufe eine kurze Runde.|to jog|I jog a short lap.|0
radeln|Er radelt jeden Tag zur Arbeit.|to cycle|He cycles to work every day.|0
fahren (Bus)|Wir fahren mit dem Bus in die Stadt.|to ride|We ride the bus to the city.|0
umsteigen|Steige am Bahnhof einmal um.|to change|Change once at the station.|0
aussteigen|Steige an der nächsten Haltestelle aus.|to get off|Get off at the next stop.|0
einsteigen|Steige vorne in den Bus ein.|to get on|Get on the bus at the front.|0
anhalten (Bus)|Der Bus hält an der Schule.|to stop|The bus stops at the school.|0
verspäten|Der Zug verspätet sich fünf Minuten.|to be delayed|The train is delayed five minutes.|0
ankommen|Wir kommen pünktlich am Ziel an.|to arrive|We arrive at the destination on time.|0
abfahren|Der Zug fährt um acht Uhr ab.|to depart|The train departs at eight o’clock.|0
buchen|Buche zwei Tickets online.|to book|Book two tickets online.|0
stornieren|Storniere die Reise bei Krankheit.|to cancel|Cancel the trip if ill.|0
packen (Reise)|Packe nur das Nötigste ein.|to pack|Pack only the essentials.|0
einchecken|Checke im Hotel am Nachmittag ein.|to check in|Check in at the hotel in the afternoon.|0
auschecken|Checke am Morgen rechtzeitig aus.|to check out|Check out in the morning on time.|0
reservieren|Reserviere einen Tisch für vier.|to reserve|Reserve a table for four.|0
bestellen (Restaurant)|Bestelle ein einfaches Gericht.|to order|Order a simple dish.|0
empfehlen (Kellner)|Der Kellner empfiehlt die Suppe.|to recommend|The waiter recommends the soup.|0
schmecken|Die Pasta schmeckt heute sehr gut.|to taste|The pasta tastes very good today.|0
trinken (Getränk)|Ich trinke stilles Wasser.|to drink|I drink still water.|0
genießen (Mahlzeit)|Genieße das Essen in Ruhe.|to enjoy|Enjoy the meal in peace.|0
bezahlen (Restaurant)|Wir bezahlen und gehen langsam.|to pay|We pay and leave slowly.|0
geben (Trinkgeld)|Gib ein kleines Trinkgeld.|to give|Give a small tip.|0
spazieren (Stadt)|Spazieren wir am Fluss entlang.|to stroll|Let’s stroll along the river.|0
besichtigen|Wir besichtigen ein kleines Museum.|to visit|We visit a small museum.|0
fotografieren|Er fotografiert die alte Brücke.|to photograph|He photographs the old bridge.|0
zeigen|Ich zeige dir meinen Lieblingsplatz.|to show|I show you my favorite spot.|0
erklären (Weg)|Sie erklärt den Weg sehr klar.|to explain|She explains the way very clearly.|0
verlaufen|Ich verlaufe mich leicht in Gassen.|to get lost|I get lost easily in alleys.|0
finden (Weg)|Wir finden den Ausgang schnell.|to find|We find the exit quickly.|0
fragen (Richtung)|Frage nach der nächsten Haltestelle.|to ask|Ask for the next stop.|0
helfen (Tourist)|Hilf dem Tourist mit der Karte.|to help|Help the tourist with the map.|0
aufpassen|Pass auf deine Tasche gut auf.|to watch out|Watch your bag carefully.|0
beachten|Beachte die Regeln im Museum.|to observe|Observe the rules in the museum.|0
einhalten|Halte die Öffnungszeiten ein.|to comply|Comply with the opening hours.|0
verboten|Hier ist Rauchen streng verboten.|to be forbidden|Smoking is strictly forbidden here.|0
erlauben|Sie erlauben Fotos ohne Blitz.|to allow|They allow photos without flash.|0
versichern|Ich versichere mein Fahrrad.|to insure|I insure my bicycle.|0
melden|Melde den Verlust bei der Polizei.|to report|Report the loss to the police.|0
beschreiben|Beschreibe das Fahrrad kurz.|to describe|Briefly describe the bicycle.|0
ausfüllen|Fülle das Formular in Druckschrift aus.|to fill out|Fill out the form in block letters.|0
unterschreiben|Unterschreibe unten rechts mit Datum.|to sign|Sign at the bottom right with date.|0
einreichen|Reiche die Unterlagen online ein.|to submit|Submit the documents online.|0
abholen (Dokument)|Hole den Ausweis morgen ab.|to collect|Collect the ID tomorrow.|0
verlängern|Verlängere die Frist bei Bedarf.|to extend|Extend the deadline if needed.|0
verkürzen|Verkürze die Wartezeit mit Lesen.|to shorten|Shorten the waiting time by reading.|0
warten|Wir warten ruhig in der Schlange.|to wait|We wait calmly in the line.|0
dran sein|Ich bin gleich dran, glaube ich.|to be next|I am next soon, I think.|0
aufgerufen werden|Wir werden gleich aufgerufen.|to be called|We will be called shortly.|0
betreten|Betritt den Raum leise.|to enter|Enter the room quietly.|0
verlassen|Verlasse den Raum langsam.|to leave|Leave the room slowly.|0
vorstellen|Ich stelle mich freundlich vor.|to introduce|I introduce myself politely.|0
begrüßen|Wir begrüßen alle mit Handschlag.|to greet|We greet everyone with a handshake.|0
sich setzen|Setz dich bitte auf den Stuhl.|to sit down|Please sit down on the chair.|0
zuhören (Gespräch)|Höre aufmerksam dem Gespräch zu.|to listen|Listen attentively to the conversation.|0
erzählen|Er erzählt eine kurze Geschichte.|to tell|He tells a short story.|0
bericht erstatten|Ich erstatte Bericht nach dem Termin.|to report|I report after the appointment.|0
zusammenfassen|Fasse die Punkte kurz zusammen.|to summarize|Summarize the points briefly.|0
abschließen (Gespräch)|Schließen wir das Gespräch freundlich ab.|to conclude|Let’s conclude the talk politely.|0
verabschieden|Wir verabschieden uns vor der Tür.|to say goodbye|We say goodbye at the door.|0
zurückrufen|Ich rufe später gerne zurück.|to call back|I will gladly call back later.|0
vereinbaren|Vereinbaren wir einen neuen Termin.|to arrange|Let’s arrange a new appointment.|0
bestärken|Bestärke dich: Du machst Fortschritt.|to encourage|Encourage yourself: you are progressing.|0
zweifeln|Zweifle nicht an kleinen Fehlern.|to doubt|Do not doubt because of small mistakes.|0
vertrauen (sich)|Vertraue dir in ruhigen Schritten.|to trust|Trust yourself in calm steps.|0
durchatmen|Atme tief durch vor dem Sprechen.|to breathe deeply|Breathe deeply before speaking.|0
aufzeichnen (Satz)|Zeichne einen Beispielsatz auf.|to record|Record a sample sentence.|0
nachsprechen|Sprich den Satz langsam nach.|to repeat|Repeat the sentence slowly.|0
betonen|Betone die wichtigen Wörter deutlich.|to emphasize|Emphasize the important words clearly.|0
unterstreichen|Unterstreiche die wichtigen Wörter im Text.|to underline|Underline the important words in the text.|0
markieren|Markiere die Antwort mit einem Stift.|to highlight|Highlight the answer with a pen.|0
auswendig lernen|Lerne zehn Sätze auswendig.|to memorize|Memorize ten sentences.|0
wiederholen|Wiederhole die Übung jeden Tag.|to repeat|Repeat the exercise every day.|0
üben|Übe die Aussprache vor dem Spiegel.|to practice|Practice the pronunciation in front of the mirror.|0
trainieren|Trainiere täglich fünfzehn Minuten.|to train|Train daily for fifteen minutes.|0
verbessern|Ich verbessere meine Aussprache langsam.|to improve|I am improving my pronunciation slowly.|0
festigen|Festige das Gelernte mit kurzen Tests.|to consolidate|Consolidate what you learned with short tests.|0
anwenden|Wende das neue Wort im Gespräch an.|to apply|Apply the new word in conversation.|0
übertragen|Übertrage die Notizen in ein Heft.|to transfer|Transfer the notes into a notebook.|0
sortieren (Wörter)|Sortiere die Wörter nach Thema.|to sort|Sort the words by topic.|0
gruppieren|Gruppiere ähnliche Verben zusammen.|to group|Group similar verbs together.|0
zuordnen|Ordne die Sätze den Bildern zu.|to match|Match the sentences to the pictures.|0
ergänzen|Ergänze die fehlenden Wörter.|to complete|Complete the missing words.|0
einsetzen|Setze das richtige Verb in die Lücke ein.|to insert|Insert the correct verb into the gap.|0
unterbrechen|Bitte unterbrich mich nicht beim Sprechen.|to interrupt|Please don’t interrupt me while I’m speaking.|0
ausreden lassen|Lass sie ihren Satz ausreden.|to let finish|Let her finish her sentence.|0
nachfragen|Frag nach, wenn du etwas nicht verstehst.|to ask follow-up|Ask a follow-up if you don’t understand something.|0
verdeutlichen|Verdeutliche deinen Punkt mit einem Beispiel.|to clarify|Clarify your point with an example.|0
veranschaulichen|Veranschauliche die Regel mit Bildern.|to illustrate|Illustrate the rule with pictures.|0
überschreiben|Überschreibe die alte Datei mit der neuen.|to overwrite|Overwrite the old file with the new one.|0
speichern|Speichere die Änderungen regelmäßig.|to save|Save the changes regularly.|0
aktualisieren|Aktualisiere die App vor der Nutzung.|to update|Update the app before using it.|0
installieren|Installiere das Programm auf dem Laptop.|to install|Install the program on the laptop.|0
deinstallieren|Deinstalliere die alte Version zuerst.|to uninstall|Uninstall the old version first.|0
starten (PC)|Starte den Computer neu.|to start|Restart the computer.|0
herunterfahren|Fahre den Rechner nach der Arbeit herunter.|to shut down|Shut down the computer after work.|0
hochladen|Lade die Datei in die Cloud hoch.|to upload|Upload the file to the cloud.|0
herunterladen|Lade die Übungsdatei herunter.|to download|Download the practice file.|0
synchronisieren|Synchronisiere Notizen zwischen Handy und PC.|to sync|Sync notes between phone and PC.|0
teilen (Datei)|Teile den Link mit dem Team.|to share|Share the link with the team.|0
freigeben|Gib den Ordner für alle frei.|to grant access|Give access to the folder for everyone.|0
sperren|Sperre dein Handy mit einem Code.|to lock|Lock your phone with a code.|0
entsperren|Entsperre das Gerät mit dem Finger.|to unlock|Unlock the device with your finger.|0
einloggen|Logge dich mit Nutzername und Passwort ein.|to log in|Log in with username and password.|0
ausloggen|Logge dich nach der Sitzung aus.|to log out|Log out after the session.|0
anmelden|Melde dich für den Kurs online an.|to register|Register online for the course.|0
abmelden|Melde dich vom Newsletter ab.|to unsubscribe|Unsubscribe from the newsletter.|0
bestätigen (Code)|Bestätige den Code per E-Mail.|to confirm|Confirm the code via email.|0
zurücksetzen|Setze dein Passwort bei Bedarf zurück.|to reset|Reset your password if needed.|0
schützen|Schütze deine Daten mit Backups.|to protect|Protect your data with backups.|0
verschlüsseln|Verschlüssele die Datei vor dem Versand.|to encrypt|Encrypt the file before sending.|0
entschlüsseln|Entschlüssele die Nachricht mit dem Schlüssel.|to decrypt|Decrypt the message with the key.|0
drucken (Bild)|Drucke das Bild in Farbe.|to print|Print the picture in color.|0
scannen|Scanne das Dokument als PDF.|to scan|Scan the document as a PDF.|0
fotokopieren|Fotokopiere die Unterlagen doppelt.|to photocopy|Photocopy the documents twice.|0
vergrößern|Vergrößere den Text auf dem Bildschirm.|to enlarge|Enlarge the text on the screen.|0
verkleinern|Verkleinere die Ansicht leicht.|to reduce|Reduce the view slightly.|0
zoomen|Zoome in das Foto hinein.|to zoom|Zoom into the photo.|0
einfügen|Füge den Satz unter die Überschrift ein.|to paste|Paste the sentence under the heading.|0
ausschneiden|Schneide das Wort aus und füge es ein.|to cut|Cut the word and paste it in.|0
kopieren (Text)|Kopiere den Text in die Zwischenablage.|to copy|Copy the text to the clipboard.|0
formatieren|Formatiere die Datei als Tabelle.|to format|Format the file as a table.|0
umwandeln|Wandle das Bild in PDF um.|to convert|Convert the image into a PDF.|0
zusammenführen|Führe zwei PDFs zu einer Datei zusammen.|to merge|Merge two PDFs into one file.|0
komprimieren|Komprimiere die Datei für den Versand.|to compress|Compress the file for sending.|0
